virus,cohort,n_sera,median_titer,geomean_titer,titer_q1,titer_q3,frac_w_titer_below_140
A/Andalucia/PMC-00977/2025_H1N1,PENN,118,190.8,225.9,96,461.3,0.4153
A/Andalucia/PMC-00977/2025_H1N1,SCH,39,73.38,155.8,44.41,469.2,0.6667
A/Andalucia/PMC-00977/2025_H1N1,PENN_0d-post-vax,59,127,168.2,82.34,365.1,0.5424
A/Andalucia/PMC-00977/2025_H1N1,PENN_28d-post-vax,59,259,303.5,117.6,683.2,0.2881
A/Aragon/2046/2025_H1N1,All,253,222.1,261.9,106.7,526.1,0.3636
A/Aragon/2046/2025_H1N1,CTS,40,402.6,482.9,235.8,767.7,0.15
A/Aragon/2046/2025_H1N1,HKU,48,217.2,269.4,126.5,390.9,0.2917
A/Aragon/2046/2025_H1N1,NIID,8,82.64,96.77,67.51,149.2,0.75
A/Aragon/2046/2025_H1N1,PENN,118,221.7,259,107.4,511.9,0.3475
A/Aragon/2046/2025_H1N1,SCH,39,95.96,171.1,45.92,462.9,0.641
A/Aragon/2046/2025_H1N1,PENN_0d-post-vax,59,165.3,193.5,97.05,383.5,0.4407
A/Aragon/2046/2025_H1N1,PENN_28d-post-vax,59,266.2,346.8,139.7,840.4,0.2542
A/Arica/59150/2025_H3N2,All,252,463.5,496.8,207.1,993.4,0.1151
A/Arica/59150/2025_H3N2,CTS,40,626.2,808.8,357.5,1507,0
A/Arica/59150/2025_H3N2,HKU,48,306.8,345.1,192,530.5,0.08333
A/Arica/59150/2025_H3N2,NIID,8,144.6,255.8,105.2,332.8,0.5
A/Arica/59150/2025_H3N2,PENN,118,536.7,594.8,296.4,1203,0.05085
A/Arica/59150/2025_H3N2,SCH,38,210.6,310,92.14,896.8,0.3947
A/Arica/59150/2025_H3N2,PENN_0d-post-vax,59,389.8,415.1,205.8,715.8,0.08475
A/Arica/59150/2025_H3N2,PENN_28d-post-vax,59,721.5,852.2,451.9,1700,0.01695
A/Bahia/3102/2025_H3N2,All,253,549.6,605.2,270,1222,0.09091
A/Bahia/3102/2025_H3N2,CTS,40,1000,977.7,414.3,1715,0
A/Bahia/3102/2025_H3N2,HKU,48,360.2,416.8,208,613.9,0.08333
A/Bahia/3102/2025_H3N2,NIID,8,223.5,307.9,127.1,380.7,0.375
A/Bahia/3102/2025_H3N2,PENN,118,738.8,753.5,366.8,1431,0.008475
A/Bahia/3102/2025_H3N2,SCH,39,232.1,346.7,92.25,951.9,0.3846
A/Bahia/3102/2025_H3N2,PENN_0d-post-vax,59,517.8,557,273.7,881.3,0.01695
A/Bahia/3102/2025_H3N2,PENN_28d-post-vax,59,1188,1019,500.5,1731,0
A/Bangkok/1803/2025_H1N1,All,253,202.3,233.1,121.4,414.8,0.2925
A/Bangkok/1803/2025_H1N1,CTS,40,374.9,368.7,245.5,537.6,0.075
A/Bangkok/1803/2025_H1N1,HKU,48,226.1,251.6,174.2,342,0.0625
A/Bangkok/1803/2025_H1N1,NIID,8,116.4,109.4,94.78,132,0.75
A/Bangkok/1803/2025_H1N1,PENN,118,182.9,227.4,120.2,418.9,0.322
A/Bangkok/1803/2025_H1N1,SCH,39,109,167,67.78,279.1,0.6154
A/Bangkok/1803/2025_H1N1,PENN_0d-post-vax,59,155.7,181.4,107.9,294.1,0.4068
A/Bangkok/1803/2025_H1N1,PENN_28d-post-vax,59,210.5,285,143.8,522.9,0.2373
A/Bangkok/P2229/2025_H1N1,All,253,257.7,315.9,131.6,717.7,0.2727
A/Bangkok/P2229/2025_H1N1,CTS,40,485.2,584.2,247,1382,0.1
A/Bangkok/P2229/2025_H1N1,HKU,48,266.8,335.9,169.5,475.6,0.125
A/Bangkok/P2229/2025_H1N1,NIID,8,121.2,105.6,67.16,152.7,0.75
A/Bangkok/P2229/2025_H1N1,PENN,118,272.4,320.5,141.3,706.6,0.2458
A/Bangkok/P2229/2025_H1N1,SCH,39,92,186.7,53.3,487.3,0.6154
A/Bangkok/P2229/2025_H1N1,PENN_0d-post-vax,59,203.7,240.3,120.8,407.3,0.3051
A/Bangkok/P2229/2025_H1N1,PENN_28d-post-vax,59,352.2,427.5,169,936,0.1864
A/Bangkok/P2323/2025_H3N2,All,253,302.5,351.1,160.6,725.3,0.2016
A/Bangkok/P2323/2025_H3N2,CTS,40,472.1,584.7,256.5,1338,0.025
A/Bangkok/P2323/2025_H3N2,HKU,48,232.1,276,148.4,404.4,0.2083
A/Bangkok/P2323/2025_H3N2,NIID,8,194.2,302.9,157.4,590.3,0.25
A/Bangkok/P2323/2025_H3N2,PENN,118,330.1,359.7,176.9,781.4,0.1695
A/Bangkok/P2323/2025_H3N2,SCH,39,155.3,268.3,77.57,655.3,0.4615
A/Bangkok/P2323/2025_H3N2,PENN_0d-post-vax,59,249.2,253.1,140.1,442.1,0.2542
A/Bangkok/P2323/2025_H3N2,PENN_28d-post-vax,59,478.9,511.2,235.4,1240,0.08475
A/Bangkok/P2390/2025_H3N2,All,253,311.3,358.9,151.8,765.3,0.2292
A/Bangkok/P2390/2025_H3N2,CTS,40,466.5,681.9,336.6,1468,0
A/Bangkok/P2390/2025_H3N2,HKU,48,187.6,248.8,135.3,345.9,0.2708
A/Bangkok/P2390/2025_H3N2,NIID,8,253.4,285.3,76.17,658.3,0.375
A/Bangkok/P2390/2025_H3N2,PENN,118,353.2,382.6,173.6,846.6,0.1864
A/Bangkok/P2390/2025_H3N2,SCH,39,125.5,252,67.47,639.2,0.5128
A/Bangkok/P2390/2025_H3N2,PENN_0d-post-vax,59,231.6,259.9,126.9,445.4,0.3051
A/Bangkok/P2390/2025_H3N2,PENN_28d-post-vax,59,429.8,563.1,270.9,1274,0.0678
A/Bangkok/P2391/2025_H3N2,All,253,289.7,327.6,127.2,805.8,0.2688
A/Bangkok/P2391/2025_H3N2,CTS,40,470.4,520,219.5,1028,0.125
A/Bangkok/P2391/2025_H3N2,HKU,48,164.3,202.4,111,319.8,0.3542
A/Bangkok/P2391/2025_H3N2,NIID,8,155.3,145.1,68,261,0.5
A/Bangkok/P2391/2025_H3N2,PENN,118,385.5,403.4,166.7,959.6,0.178
A/Bangkok/P2391/2025_H3N2,SCH,39,113.8,232.4,58.02,681.6,0.5385
A/Bangkok/P2391/2025_H3N2,PENN_0d-post-vax,59,289.7,284.8,126,618.8,0.2712
A/Bangkok/P2391/2025_H3N2,PENN_28d-post-vax,59,560.3,571.4,245.9,1320,0.08475
A/Bangkok/P2572/2025_H3N2,All,253,309.9,346.8,130.3,736.4,0.2846
A/Bangkok/P2572/2025_H3N2,CTS,40,663.9,638.3,285.6,1229,0.075
A/Bangkok/P2572/2025_H3N2,HKU,48,205.3,269.7,133.8,409.9,0.3125
A/Bangkok/P2572/2025_H3N2,NIID,8,188.8,278.4,102.4,637.7,0.375
A/Bangkok/P2572/2025_H3N2,PENN,118,324.7,359.1,150.1,789.5,0.2458
A/Bangkok/P2572/2025_H3N2,SCH,39,107.4,238,67.2,580.8,0.5641
A/Bangkok/P2572/2025_H3N2,PENN_0d-post-vax,59,229.8,235.8,105.4,578.3,0.4068
A/Bangkok/P2572/2025_H3N2,PENN_28d-post-vax,59,524.9,546.7,257.4,1282,0.08475
A/Bangkok/P2921/2025_H3N2,All,253,460.2,426.2,142.6,1006,0.2451
A/Bangkok/P2921/2025_H3N2,CTS,40,681.4,793.5,296.4,2180,0.075
A/Bangkok/P2921/2025_H3N2,HKU,48,201.9,247.9,120.8,454.8,0.375
A/Bangkok/P2921/2025_H3N2,NIID,8,201.1,318.1,143.5,467.2,0.25
A/Bangkok/P2921/2025_H3N2,PENN,118,510.4,463.3,182.8,1057,0.178
A/Bangkok/P2921/2025_H3N2,SCH,39,413.5,362.4,67.77,1438,0.4615
A/Bangkok/P2921/2025_H3N2,PENN_0d-post-vax,59,342.5,301.7,126,732.1,0.2712
A/Bangkok/P2921/2025_H3N2,PENN_28d-post-vax,59,793.6,711.3,348.9,1718,0.08475
A/Bangkok/P3067/2025_H1N1,All,252,268.8,325.4,135.1,714.5,0.2698
A/Bangkok/P3067/2025_H1N1,CTS,40,494.9,659.3,263.9,1746,0.025
A/Bangkok/P3067/2025_H1N1,HKU,48,286.1,326.1,145.8,494.2,0.1875
A/Bangkok/P3067/2025_H1N1,NIID,8,92.57,100.2,64.59,151.4,0.75
A/Bangkok/P3067/2025_H1N1,PENN,117,276.8,332.4,142,766.9,0.2479
A/Bangkok/P3067/2025_H1N1,SCH,39,106.2,188,48.09,535.1,0.5897
A/Bangkok/P3067/2025_H1N1,PENN_0d-post-vax,58,219.2,253.6,126.9,525.9,0.3103
A/Bangkok/P3067/2025_H1N1,PENN_28d-post-vax,59,417.5,433.7,180.4,877.9,0.1864
A/Bangkok/P3263/2025_H3N2,All,250,437.6,497.2,234.2,898.7,0.104
A/Bangkok/P3263/2025_H3N2,CTS,39,726.6,768.1,386,1342,0.05128
A/Bangkok/P3263/2025_H3N2,HKU,47,398.8,458.2,238.3,718,0.04255
A/Bangkok/P3263/2025_H3N2,NIID,8,389.9,439.4,121.9,948.8,0.375
A/Bangkok/P3263/2025_H3N2,PENN,117,426,483.4,254.9,843.3,0.05983
A/Bangkok/P3263/2025_H3N2,SCH,39,238.5,396.2,137.2,960,0.3077
A/Bangkok/P3263/2025_H3N2,PENN_0d-post-vax,59,350.5,361.9,228.6,666.9,0.08475
A/Bangkok/P3263/2025_H3N2,PENN_28d-post-vax,58,548.7,648.9,298,1620,0.03448
A/Belgium/H0097/2025_H3N2,All,252,353.5,407.7,158.8,1021,0.2262
A/Belgium/H0097/2025_H3N2,CTS,40,549.6,637.2,259.7,1436,0.1
A/Belgium/H0097/2025_H3N2,HKU,48,204.7,262.7,128.8,420.1,0.3333
A/Belgium/H0097/2025_H3N2,NIID,8,262.1,435.8,110.2,1827,0.375
A/Belgium/H0097/2025_H3N2,PENN,117,431.4,451.8,203.6,1083,0.1538
A/Belgium/H0097/2025_H3N2,SCH,39,193.5,321.3,53.58,996.2,0.4103
A/Belgium/H0097/2025_H3N2,PENN_0d-post-vax,58,325.5,318.4,154.7,687.8,0.2069
A/Belgium/H0097/2025_H3N2,PENN_28d-post-vax,59,582.6,637.2,272.9,1552,0.1017
A/Bhutan/1267/2025_H3N2,All,253,386.2,447.2,156.8,1069,0.2174
A/Bhutan/1267/2025_H3N2,CTS,40,818.6,905.9,363.1,2268,0
A/Bhutan/1267/2025_H3N2,HKU,48,250.2,307.1,143.3,513.8,0.2292
A/Bhutan/1267/2025_H3N2,NIID,8,222.2,311,89.5,631.8,0.375
A/Bhutan/1267/2025_H3N2,PENN,118,440.8,461.6,179.7,1155,0.1864
A/Bhutan/1267/2025_H3N2,SCH,39,175.3,336.8,78.69,984.5,0.4872
A/Bhutan/1267/2025_H3N2,PENN_0d-post-vax,59,287.1,287.7,127,650.9,0.3051
A/Bhutan/1267/2025_H3N2,PENN_28d-post-vax,59,677.4,740.7,300.7,1899,0.0678
A/Bhutan/7/2025_H3N2,All,252,428.1,451.4,156.2,1111,0.2262
A/Bhutan/7/2025_H3N2,CTS,40,810.2,868.6,347,1721,0.05
A/Bhutan/7/2025_H3N2,HKU,48,198.6,269.9,110.8,490.8,0.3542
A/Bhutan/7/2025_H3N2,NIID,8,242.9,295.9,94.97,582.4,0.375
A/Bhutan/7/2025_H3N2,PENN,118,495.6,494.4,188.1,1200,0.1525
A/Bhutan/7/2025_H3N2,SCH,38,152.5,357.6,61.98,1047,0.4474
A/Bhutan/7/2025_H3N2,PENN_0d-post-vax,59,281.2,306.6,161.2,727.2,0.2203
A/Bhutan/7/2025_H3N2,PENN_28d-post-vax,59,862.7,797.1,299.6,1821,0.08475
A/BritishColumbia/PHL-2473/2025_H1N1,All,253,248.3,294.3,129.3,618.7,0.2885
A/BritishColumbia/PHL-2473/2025_H1N1,CTS,40,480.9,569.9,252.1,1234,0.075
A/BritishColumbia/PHL-2473/2025_H1N1,HKU,48,281.9,321,170.8,466.9,0.2083
A/BritishColumbia/PHL-2473/2025_H1N1,NIID,8,88.35,88.25,52.9,153.3,0.625
A/BritishColumbia/PHL-2473/2025_H1N1,PENN,118,247.9,289.6,135.6,593.3,0.2627
A/BritishColumbia/PHL-2473/2025_H1N1,SCH,39,98.49,180.5,54.66,464.2,0.6154
A/BritishColumbia/PHL-2473/2025_H1N1,PENN_0d-post-vax,59,175.8,224.5,124.8,422.4,0.322
A/BritishColumbia/PHL-2473/2025_H1N1,PENN_28d-post-vax,59,315.5,373.4,165.9,824.6,0.2034
A/California/61/2025_H3N2,All,253,392,417.1,191,780.4,0.1581
A/California/61/2025_H3N2,CTS,40,587.8,716.9,398.9,1760,0.025
A/California/61/2025_H3N2,HKU,48,290.6,361,221.3,531.6,0.04167
A/California/61/2025_H3N2,NIID,8,275.1,349.3,99.82,772.7,0.375
A/California/61/2025_H3N2,PENN,118,415,419.9,206.1,875.2,0.1525
A/California/61/2025_H3N2,SCH,39,173.7,290.3,93.62,616.2,0.4103
A/California/61/2025_H3N2,PENN_0d-post-vax,59,299,307.9,139.2,607.1,0.2542
A/California/61/2025_H3N2,PENN_28d-post-vax,59,464,572.6,264,1258,0.05085
A/California/63/2025_H1N1,All,253,263.2,304.1,123.7,693.2,0.2846
A/California/63/2025_H1N1,CTS,40,465.1,566,261.5,1464,0.1
A/California/63/2025_H1N1,HKU,48,309.1,366.4,189.4,544.4,0.125
A/California/63/2025_H1N1,NIID,8,86.12,86.61,51.32,139.2,0.75
A/California/63/2025_H1N1,PENN,118,237.8,290.9,123.5,596,0.2881
A/California/63/2025_H1N1,SCH,39,101.8,189.5,58.78,528.1,0.5641
A/California/63/2025_H1N1,PENN_0d-post-vax,59,180.4,221.4,104.9,396.5,0.3729
A/California/63/2025_H1N1,PENN_28d-post-vax,59,313.8,382.2,160.4,849.6,0.2034
A/Canberra/465/2025_H1N1,All,253,316.7,375.4,182.8,766.9,0.1621
A/Canberra/465/2025_H1N1,CTS,40,508.9,660.5,330.6,1204,0.025
A/Canberra/465/2025_H1N1,HKU,48,335.1,400.4,233.3,487.4,0.02083
A/Canberra/465/2025_H1N1,NIID,8,112.5,114.4,94.36,165.3,0.625
A/Canberra/465/2025_H1N1,PENN,118,312.4,392.5,193.2,761.6,0.1186
A/Canberra/465/2025_H1N1,SCH,39,138.8,216.6,74.55,575.2,0.5128
A/Canberra/465/2025_H1N1,PENN_0d-post-vax,59,259.4,307.4,168.7,554.3,0.1525
A/Canberra/465/2025_H1N1,PENN_28d-post-vax,59,459.2,501.2,224.5,1145,0.08475
A/Canberra/530/2025_H1N1,All,253,236,302.5,130.9,678.8,0.2727
A/Canberra/530/2025_H1N1,CTS,40,446.2,571.1,229.8,1218,0.05
A/Canberra/530/2025_H1N1,HKU,48,259.4,331.9,171.9,462.7,0.1667
A/Canberra/530/2025_H1N1,NIID,8,83.02,92.9,56.58,178.7,0.625
A/Canberra/530/2025_H1N1,PENN,118,259.3,300.3,138.4,670.5,0.2542
A/Canberra/530/2025_H1N1,SCH,39,92,183.1,58.06,495.2,0.6154
A/Canberra/530/2025_H1N1,PENN_0d-post-vax,59,181.1,230.2,119,417.4,0.322
A/Canberra/530/2025_H1N1,PENN_28d-post-vax,59,335.5,391.6,160.9,879.6,0.1864
A/Catalonia/NSVH102689455/2025_H1N1,All,253,278.2,330.6,147.8,653,0.2332
A/Catalonia/NSVH102689455/2025_H1N1,CTS,40,449.1,606.3,261.9,1314,0.025
A/Catalonia/NSVH102689455/2025_H1N1,HKU,48,288,360.9,181.4,558.3,0.0625
A/Catalonia/NSVH102689455/2025_H1N1,NIID,8,100.6,102.8,88.25,148.8,0.625
A/Catalonia/NSVH102689455/2025_H1N1,PENN,118,285.5,324,146.3,632.8,0.2373
A/Catalonia/NSVH102689455/2025_H1N1,SCH,39,114.5,215.3,67.17,571.9,0.5641
A/Catalonia/NSVH102689455/2025_H1N1,PENN_0d-post-vax,59,215.5,246.9,125.2,424.4,0.339
A/Catalonia/NSVH102689455/2025_H1N1,PENN_28d-post-vax,59,381.3,425.2,191.4,785.1,0.1356
A/Colorado/105/2025_H1N1,All,253,195.6,243.6,95.26,554.2,0.3913
A/Colorado/105/2025_H1N1,CTS,40,374.3,455.2,167.8,981.1,0.125
A/Colorado/105/2025_H1N1,HKU,48,204.8,246.5,110.2,335.5,0.375
A/Colorado/105/2025_H1N1,NIID,8,82.35,83.82,54.7,130.7,0.75
A/Colorado/105/2025_H1N1,PENN,118,196.6,239.3,99.06,618.3,0.3814
A/Colorado/105/2025_H1N1,SCH,39,77.77,165.9,47.71,497.4,0.641
A/Colorado/105/2025_H1N1,PENN_0d-post-vax,59,119.8,176.4,82.2,374.4,0.5085
A/Colorado/105/2025_H1N1,PENN_28d-post-vax,59,269,324.7,140.4,780.3,0.2542
A/CoteDIvoire/2007/2025_H1N1,All,253,266.1,328.5,144.6,709.7,0.2411
A/CoteDIvoire/2007/2025_H1N1,CTS,40,465.5,614.5,290.9,1395,0.025
A/CoteDIvoire/2007/2025_H1N1,HKU,48,275.7,356.6,198.8,508.5,0.1042
A/CoteDIvoire/2007/2025_H1N1,NIID,8,101.3,100.3,83,136.6,0.75
A/CoteDIvoire/2007/2025_H1N1,PENN,118,277.4,331.7,156.1,752.1,0.2203
A/CoteDIvoire/2007/2025_H1N1,SCH,39,108.3,193.3,62.36,526.6,0.5897
A/CoteDIvoire/2007/2025_H1N1,PENN_0d-post-vax,59,211.2,257.7,136.6,445.6,0.2712
A/CoteDIvoire/2007/2025_H1N1,PENN_28d-post-vax,59,359.6,427,182.2,983.9,0.1695
A/Croatia/10136RV/2023-egg_H3N2,All,252,842,799.6,207.2,2956,0.1865
A/Croatia/10136RV/2023-egg_H3N2,CTS,40,1124,1206,331.2,5340,0.15
A/Croatia/10136RV/2023-egg_H3N2,HKU,47,218,286.2,101.3,536.5,0.4043
A/Croatia/10136RV/2023-egg_H3N2,NIID,8,198.1,553.8,172.1,2522,0.125
A/Croatia/10136RV/2023-egg_H3N2,PENN,118,1284,1215,447.7,3562,0.05085
A/Croatia/10136RV/2023-egg_H3N2,SCH,39,842.6,549.7,104.9,2838,0.3846
A/Croatia/10136RV/2023-egg_H3N2,PENN_0d-post-vax,59,691.8,688.6,306.1,1670,0.1017
A/Croatia/10136RV/2023-egg_H3N2,PENN_28d-post-vax,59,2707,2144,844.2,5580,0
A/Darwin/1405/2025_H1N1,All,253,276.9,333.8,151.9,675.8,0.2253
A/Darwin/1405/2025_H1N1,CTS,40,471.4,614.1,274.9,1222,0.05
A/Darwin/1405/2025_H1N1,HKU,48,289.8,357.7,178.3,497,0.08333
A/Darwin/1405/2025_H1N1,NIID,8,104.4,104.6,77.33,148.1,0.625
A/Darwin/1405/2025_H1N1,PENN,118,282.5,335,152.3,671.5,0.2119
A/Darwin/1405/2025_H1N1,SCH,39,122.3,205.8,51.29,614.8,0.5385
A/Darwin/1405/2025_H1N1,PENN_0d-post-vax,59,214,258.3,137.9,471.6,0.2881
A/Darwin/1405/2025_H1N1,PENN_28d-post-vax,59,344.9,434.6,165.3,989.4,0.1356
A/Darwin/1461/2025_H3N2,All,249,514.3,513.9,179.8,1330,0.1807
A/Darwin/1461/2025_H3N2,CTS,40,706.5,931.4,341.7,2457,0
A/Darwin/1461/2025_H3N2,HKU,48,224.6,261.2,114.4,436.4,0.3542
A/Darwin/1461/2025_H3N2,NIID,8,192.9,399.9,138.6,1036,0.25
A/Darwin/1461/2025_H3N2,PENN,116,576.4,589.3,275.9,1343,0.1034
A/Darwin/1461/2025_H3N2,SCH,37,384.3,446.5,94.66,1330,0.3784
A/Darwin/1461/2025_H3N2,PENN_0d-post-vax,57,413.3,382.4,179.8,781.5,0.193
A/Darwin/1461/2025_H3N2,PENN_28d-post-vax,59,886.5,894.7,446.2,2311,0.01695
A/Denmark/3070/2025_H1N1,All,253,241.5,265.3,129,482.4,0.2806
A/Denmark/3070/2025_H1N1,CTS,40,489.6,535,309.8,755.9,0
A/Denmark/3070/2025_H1N1,HKU,48,226.9,263.5,166.3,369.8,0.1042
A/Denmark/3070/2025_H1N1,NIID,8,79.97,88.99,64.47,156.5,0.625
A/Denmark/3070/2025_H1N1,PENN,118,234.7,256.3,123.5,404.9,0.3305
A/Denmark/3070/2025_H1N1,SCH,39,108,181,58.86,400,0.5641
A/Denmark/3070/2025_H1N1,PENN_0d-post-vax,59,155,196,104.3,311.6,0.4237
A/Denmark/3070/2025_H1N1,PENN_28d-post-vax,59,305.3,335.1,150.5,520.5,0.2373
A/DistrictOfColumbia/27/2023_H3N2,All,253,492.3,485.3,157.7,1302,0.2213
A/DistrictOfColumbia/27/2023_H3N2,CTS,40,669,712.7,247.7,2224,0.15
A/DistrictOfColumbia/27/2023_H3N2,HKU,48,165.2,221,109.1,372.9,0.4583
A/DistrictOfColumbia/27/2023_H3N2,NIID,8,196.8,393.1,138.1,1063,0.25
A/DistrictOfColumbia/27/2023_H3N2,PENN,118,573.5,638.9,290.7,1566,0.07627
A/DistrictOfColumbia/27/2023_H3N2,SCH,39,208.2,391.6,80.09,1504,0.4359
A/DistrictOfColumbia/27/2023_H3N2,PENN_0d-post-vax,59,461,447.5,205.6,778.9,0.1186
A/DistrictOfColumbia/27/2023_H3N2,PENN_28d-post-vax,59,1048,912.2,467.1,2154,0.0339
A/DistrictOfColumbia/57/2025_H3N2,All,253,268.1,319.9,133.5,710.2,0.2727
A/DistrictOfColumbia/57/2025_H3N2,CTS,40,475.1,533,207.6,1082,0.1
A/DistrictOfColumbia/57/2025_H3N2,HKU,48,175.8,226.2,111.8,368.1,0.3542
A/DistrictOfColumbia/57/2025_H3N2,NIID,8,172.3,289.6,118.5,681.4,0.375
A/DistrictOfColumbia/57/2025_H3N2,PENN,118,291.9,349.1,179.3,805,0.1949
A/DistrictOfColumbia/57/2025_H3N2,SCH,39,126.2,227.6,49.73,602.5,0.5641
A/DistrictOfColumbia/57/2025_H3N2,PENN_0d-post-vax,59,219.5,237.1,133.2,429,0.2881
A/DistrictOfColumbia/57/2025_H3N2,PENN_28d-post-vax,59,418.8,514.1,257.9,1216,0.1017
A/DistritoFederal/250106000728/2025_H3N2,All,251,369.9,420.4,201.7,750.4,0.1235
A/DistritoFederal/250106000728/2025_H3N2,CTS,40,721.5,755.7,366.5,1439,0.025
A/DistritoFederal/250106000728/2025_H3N2,HKU,48,315.7,337.9,191,439.6,0.08333
A/DistritoFederal/250106000728/2025_H3N2,NIID,8,166.3,282,97.72,516,0.375
A/DistritoFederal/250106000728/2025_H3N2,PENN,118,453.4,485.9,233.3,881.2,0.05085
A/DistritoFederal/250106000728/2025_H3N2,SCH,37,167.9,203.4,52.74,358.1,0.4595
A/DistritoFederal/250106000728/2025_H3N2,PENN_0d-post-vax,59,330.6,374.2,204.3,593.8,0.08475
A/DistritoFederal/250106000728/2025_H3N2,PENN_28d-post-vax,59,624.4,630.9,318.4,1313,0.01695
A/DistritoFederal/2578578201/2025_H3N2,All,253,373.1,390.2,136.2,884.3,0.253
A/DistritoFederal/2578578201/2025_H3N2,CTS,40,679.2,733.7,362,1530,0.125
A/DistritoFederal/2578578201/2025_H3N2,HKU,48,185.6,234,106.4,362.4,0.4167
A/DistritoFederal/2578578201/2025_H3N2,NIID,8,101.9,154.6,43.2,205.5,0.625
A/DistritoFederal/2578578201/2025_H3N2,PENN,118,467.4,491.9,222.5,1040,0.1271
A/DistritoFederal/2578578201/2025_H3N2,SCH,39,160.1,229.9,40,856.9,0.4872
A/DistritoFederal/2578578201/2025_H3N2,PENN_0d-post-vax,59,308.6,322.1,164.3,613.9,0.2034
A/DistritoFederal/2578578201/2025_H3N2,PENN_28d-post-vax,59,730.6,751.3,360.6,1576,0.05085
A/England/174/2025_H3N2,All,248,599.3,604.1,218.9,1621,0.1573
A/England/174/2025_H3N2,CTS,40,756.2,1092,471.7,3126,0.025
A/England/174/2025_H3N2,HKU,48,240.7,268.3,116.8,594.6,0.3125
A/England/174/2025_H3N2,NIID,8,187.3,388.9,157.9,728.6,0.125
A/England/174/2025_H3N2,PENN,116,709.2,707.7,297.1,1638,0.08621
A/England/174/2025_H3N2,SCH,36,708.2,611.1,112.7,2395,0.3333
A/England/174/2025_H3N2,PENN_0d-post-vax,57,596.4,496,208.4,1043,0.1579
A/England/174/2025_H3N2,PENN_28d-post-vax,59,1133,997.7,458.9,2296,0.01695
A/England/1822256/2025_H1N1,All,253,288.2,340.5,138.1,730.8,0.2648
A/England/1822256/2025_H1N1,CTS,40,502.2,598.3,278.8,1209,0.1
A/England/1822256/2025_H1N1,HKU,48,260.2,306.5,142.1,482.4,0.25
A/England/1822256/2025_H1N1,NIID,8,165.3,159.3,117.1,244.8,0.5
A/England/1822256/2025_H1N1,PENN,118,301,365.4,145.3,803,0.2288
A/England/1822256/2025_H1N1,SCH,39,133.9,205.1,49.89,525.9,0.5128
A/England/1822256/2025_H1N1,PENN_0d-post-vax,59,204,259.2,133.8,510.5,0.339
A/England/1822256/2025_H1N1,PENN_28d-post-vax,59,414.3,515.2,220.7,1232,0.1186
A/England/1837734/2025_H3N2,All,253,318.3,369,167.5,663.2,0.1937
A/England/1837734/2025_H3N2,CTS,40,513.5,614.9,283.9,1156,0
A/England/1837734/2025_H3N2,HKU,48,221.9,299.5,164.2,503.7,0.1667
A/England/1837734/2025_H3N2,NIID,8,378.2,429.6,176.8,920.8,0.25
A/England/1837734/2025_H3N2,PENN,118,340.4,377.6,192.5,672.3,0.1525
A/England/1837734/2025_H3N2,SCH,39,128.6,255.6,63.38,566.8,0.5385
A/England/1837734/2025_H3N2,PENN_0d-post-vax,59,242,259.9,145.4,473.9,0.2373
A/England/1837734/2025_H3N2,PENN_28d-post-vax,59,436.9,548.7,256.8,1257,0.0678
A/England/1837737/2025_H3N2,All,251,287.2,302.1,117.4,751.9,0.3267
