serum,virus,n_plates,sd_log2,status,run
seqneut25to26_sera_4018,A/Canberra/465/2025_H1N1,2,0.3918,shared,no_collapse
seqneut25to26_sera_4018,A/Canberra/530/2025_H1N1,2,0.0907,shared,no_collapse
seqneut25to26_sera_4018,A/Catalonia/NSVH102689455/2025_H1N1,2,0.4689,shared,no_collapse
seqneut25to26_sera_4018,A/Colorado/105/2025_H1N1,2,0.7816,shared,no_collapse
seqneut25to26_sera_4018,A/CoteDIvoire/2007/2025_H1N1,2,0.1337,shared,no_collapse
seqneut25to26_sera_4018,A/Croatia/10136RV/2023-egg_H3N2,2,0.0031,shared,no_collapse
seqneut25to26_sera_4018,A/Darwin/1405/2025_H1N1,2,0.2777,shared,no_collapse
seqneut25to26_sera_4018,A/Darwin/1461/2025_H3N2,2,0.7728,shared,no_collapse
seqneut25to26_sera_4018,A/Denmark/3070/2025_H1N1,2,0.8692,shared,no_collapse
seqneut25to26_sera_4018,A/DistrictOfColumbia/27/2023_H3N2,2,0.4501,shared,no_collapse
seqneut25to26_sera_4018,A/DistrictOfColumbia/57/2025_H3N2,2,1.0521,shared,no_collapse
seqneut25to26_sera_4018,A/DistritoFederal/250106000728/2025_H3N2,2,0.276,shared,no_collapse
seqneut25to26_sera_4018,A/DistritoFederal/2578578201/2025_H3N2,2,0.7981,shared,no_collapse
seqneut25to26_sera_4018,A/England/174/2025_H3N2,2,1.4203,shared,no_collapse
seqneut25to26_sera_4018,A/England/1822256/2025_H1N1,2,0.1688,shared,no_collapse
seqneut25to26_sera_4018,A/England/1837734/2025_H3N2,2,0.8351,shared,no_collapse
seqneut25to26_sera_4018,A/England/1837737/2025_H3N2,2,0.4546,shared,no_collapse
seqneut25to26_sera_4018,A/France/ARA-HCL025155099501/2025_H1N1,2,0.7343,shared,no_collapse
seqneut25to26_sera_4018,A/Galicia/GA-CHUAC-451/2025_H3N2,2,0.7631,shared,no_collapse
seqneut25to26_sera_4018,A/Ghana/ARI-25-1125/2025_H1N1,2,0.0249,shared,no_collapse
seqneut25to26_sera_4018,A/Guangdong-Maonan/11438/2025_H3N2,2,0.1418,shared,no_collapse
seqneut25to26_sera_4018,A/Guangdong-Meijiang/11256/2025_H3N2,2,0.1761,shared,no_collapse
seqneut25to26_sera_4018,A/Guangxi-Daxin/1643/2025_H3N2,2,0.5866,shared,no_collapse
seqneut25to26_sera_4018,A/Guangxi-Qingxiu/SWL11742/2025_H1N1,2,0.3984,shared,no_collapse
seqneut25to26_sera_4018,A/Hawaii/44/2025_H1N1,2,0.0018,shared,no_collapse
seqneut25to26_sera_4018,A/Hawaii/70/2019_H1N1,2,0.0232,shared,no_collapse
seqneut25to26_sera_4018,A/HongKong/1257/2025_H3N2,2,0.27,shared,no_collapse
seqneut25to26_sera_4018,A/HongKong/1382/2025_H3N2,2,0.9453,shared,no_collapse
seqneut25to26_sera_4018,A/Indonesia/BIOKES-I-BT074/2025_H3N2,2,0.3394,shared,no_collapse
seqneut25to26_sera_4018,A/Indonesia/BIOKES-INAD491/2025_H3N2,2,0.3664,shared,no_collapse
seqneut25to26_sera_4018,A/Lao/820-2750/2025_H3N2,2,0.088,shared,no_collapse
seqneut25to26_sera_4018,A/Malaysia/IMR/SARI/2028/2025_H3N2,2,0.2514,shared,no_collapse
seqneut25to26_sera_4018,A/Malaysia/IMR/SARI/2406/2025_H3N2,2,1.0005,shared,no_collapse
seqneut25to26_sera_4018,A/Malaysia/IMR/SARI/2517/2025_H3N2,2,1.1719,shared,no_collapse
seqneut25to26_sera_4018,A/Massachusetts/18/2022_H3N2,2,0.0925,shared,no_collapse
seqneut25to26_sera_4018,A/Michigan/110/2025_H3N2,2,0.6681,shared,no_collapse
seqneut25to26_sera_4018,A/Minnesota/96/2025_H3N2,2,0.1968,shared,no_collapse
seqneut25to26_sera_4018,A/Missouri/11/2025_H1N1,2,0.8168,shared,no_collapse
seqneut25to26_sera_4018,A/NewSouthWales/2526015582/2025_H3N2,2,0.3809,shared,no_collapse
seqneut25to26_sera_4018,A/NewSouthWales/2526015584/2025_H3N2,2,1.4113,shared,no_collapse
seqneut25to26_sera_4018,A/Norway/8765/2025_H3N2,2,1.2998,shared,no_collapse
seqneut25to26_sera_4018,A/Norway/8976/2025_H3N2,2,0.3263,shared,no_collapse
seqneut25to26_sera_4018,A/Norway/9107/2025_H1N1,2,0.5164,shared,no_collapse
seqneut25to26_sera_4018,A/Norway/9556/2025_H1N1,2,0.1444,shared,no_collapse
seqneut25to26_sera_4018,A/Peru/GIHSN-04-1089/2025_H3N2,2,0.1814,shared,no_collapse
seqneut25to26_sera_4018,A/Philippines/SARI25-1425/2025_H1N1,2,0.2538,shared,no_collapse
seqneut25to26_sera_4018,A/Queensland/2526516675/2025_H3N2,2,1.1585,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAfrica/PET37604/2025_H3N2,2,0.1024,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAfrica/PET37625/2025_H3N2,2,0.6143,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2519001037/2025_H1N1,2,0.0272,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2520702747/2025_H1N1,2,0.0619,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2523012764/2025_H1N1,2,1.153,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2523812314/2025_H3N2,2,1.053,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2524408801/2025_H3N2,2,1.064,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2524712956/2025_H1N1,2,0.2601,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2525607496/2025_H3N2,2,0.6566,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2527003588/2025_H3N2,2,0.4547,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2527213276/2025_H3N2,2,0.2302,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2527612456/2025_H1N1,2,0.184,shared,no_collapse
seqneut25to26_sera_4018,A/SouthAustralia/2527902708/2025_H3N2,2,0.3715,shared,no_collapse
seqneut25to26_sera_4018,A/Sydney/1359/2024_H3N2,2,0.9061,shared,no_collapse
seqneut25to26_sera_4018,A/Sydney/400/2025_H1N1,2,0.3677,shared,no_collapse
seqneut25to26_sera_4018,A/Tasmania/2521815682/2025_H3N2,2,0.8426,shared,no_collapse
seqneut25to26_sera_4018,A/Thailand/8/2022_H3N2,2,0.678,shared,no_collapse
seqneut25to26_sera_4018,A/Vermont/73/2025_H3N2,2,1.9779,shared,no_collapse
seqneut25to26_sera_4018,A/Victoria/4897/2022_IVR-238_H1N1,2,0.2288,shared,no_collapse
seqneut25to26_sera_4018,A/Wisconsin/588/2019_H1N1,2,0.0948,shared,no_collapse
seqneut25to26_sera_4018,A/Wisconsin/67/2022_H1N1,2,0.4838,shared,no_collapse
seqneut25to26_sera_4018,A/Zacapa/FLU-261/2025_H1N1,2,0.439,shared,no_collapse
seqneut25to26_sera_4018,A/Alagoas/4130/2025_H3N2,2,0.9054,shared,collapse
seqneut25to26_sera_4018,A/Anapolis/LEIAL6543/2025_H3N2,2,0.7338,shared,collapse
seqneut25to26_sera_4018,A/Andalucia/PMC-00977/2025_H1N1,2,0.5161,shared,collapse
seqneut25to26_sera_4018,A/Aragon/2046/2025_H1N1,2,0.4564,shared,collapse
seqneut25to26_sera_4018,A/Arica/59150/2025_H3N2,2,0.0203,shared,collapse
seqneut25to26_sera_4018,A/Bahia/3102/2025_H3N2,2,0.2729,shared,collapse
seqneut25to26_sera_4018,A/Bangkok/1803/2025_H1N1,2,0.4754,shared,collapse
seqneut25to26_sera_4018,A/Bangkok/P2229/2025_H1N1,2,0.8117,shared,collapse
seqneut25to26_sera_4018,A/Bangkok/P2323/2025_H3N2,2,0.8305,shared,collapse
seqneut25to26_sera_4018,A/Bangkok/P2390/2025_H3N2,2,0.3896,shared,collapse
seqneut25to26_sera_4018,A/Bangkok/P2391/2025_H3N2,2,0.4751,shared,collapse
seqneut25to26_sera_4018,A/Bangkok/P2572/2025_H3N2,2,0.5858,shared,collapse
seqneut25to26_sera_4018,A/Bangkok/P2921/2025_H3N2,2,0.296,shared,collapse
seqneut25to26_sera_4018,A/Bangkok/P3067/2025_H1N1,2,0.0873,shared,collapse
seqneut25to26_sera_4018,A/Bangkok/P3263/2025_H3N2,2,0.3136,shared,collapse
seqneut25to26_sera_4018,A/Belgium/H0097/2025_H3N2,2,0.644,shared,collapse
seqneut25to26_sera_4018,A/Bhutan/1267/2025_H3N2,2,0.7055,shared,collapse
seqneut25to26_sera_4018,A/Bhutan/7/2025_H3N2,2,1.1766,shared,collapse
seqneut25to26_sera_4018,A/BritishColumbia/PHL-2473/2025_H1N1,2,0.3615,shared,collapse
seqneut25to26_sera_4018,A/California/61/2025_H3N2,2,0.7333,shared,collapse
seqneut25to26_sera_4018,A/California/63/2025_H1N1,2,0.2532,shared,collapse
seqneut25to26_sera_4018,A/Canberra/465/2025_H1N1,2,0.4385,shared,collapse
seqneut25to26_sera_4018,A/Canberra/530/2025_H1N1,2,0.0826,shared,collapse
seqneut25to26_sera_4018,A/Catalonia/NSVH102689455/2025_H1N1,2,0.4037,shared,collapse
seqneut25to26_sera_4018,A/Colorado/105/2025_H1N1,2,0.7807,shared,collapse
seqneut25to26_sera_4018,A/CoteDIvoire/2007/2025_H1N1,2,0.3395,shared,collapse
seqneut25to26_sera_4018,A/Croatia/10136RV/2023-egg_H3N2,2,0.2367,shared,collapse
seqneut25to26_sera_4018,A/Darwin/1405/2025_H1N1,2,0.1398,shared,collapse
seqneut25to26_sera_4018,A/Darwin/1461/2025_H3N2,2,0.7974,shared,collapse
seqneut25to26_sera_4018,A/Denmark/3070/2025_H1N1,2,0.937,shared,collapse
seqneut25to26_sera_4018,A/DistrictOfColumbia/27/2023_H3N2,2,0.9778,shared,collapse
seqneut25to26_sera_4018,A/DistrictOfColumbia/57/2025_H3N2,2,0.8526,shared,collapse
seqneut25to26_sera_4018,A/DistritoFederal/250106000728/2025_H3N2,2,0.7591,shared,collapse
seqneut25to26_sera_4018,A/DistritoFederal/2578578201/2025_H3N2,2,0.7793,shared,collapse
seqneut25to26_sera_4018,A/England/174/2025_H3N2,2,1.4203,shared,collapse
seqneut25to26_sera_4018,A/England/1822256/2025_H1N1,2,0.2563,shared,collapse
seqneut25to26_sera_4018,A/England/1837734/2025_H3N2,2,0.4837,shared,collapse
seqneut25to26_sera_4018,A/England/1837737/2025_H3N2,2,0.681,shared,collapse
seqneut25to26_sera_4018,A/France/ARA-HCL025155099501/2025_H1N1,2,0.7343,shared,collapse
seqneut25to26_sera_4018,A/Galicia/GA-CHUAC-451/2025_H3N2,2,0.5029,shared,collapse
seqneut25to26_sera_4018,A/Ghana/ARI-25-1125/2025_H1N1,2,1.4204,shared,collapse
seqneut25to26_sera_4018,A/Ghana/FS-25-7077/2025_H3N2,2,0.7468,unique_to_collapse,collapse
seqneut25to26_sera_4018,A/Guangdong-Maonan/11438/2025_H3N2,2,0.4967,shared,collapse
seqneut25to26_sera_4018,A/Guangdong-Meijiang/11256/2025_H3N2,2,0.5649,shared,collapse
seqneut25to26_sera_4018,A/Guangxi-Daxin/1643/2025_H3N2,2,0.3121,shared,collapse
seqneut25to26_sera_4018,A/Guangxi-Qingxiu/SWL11742/2025_H1N1,2,0.2582,shared,collapse
seqneut25to26_sera_4018,A/Hawaii/44/2025_H1N1,2,0.1495,shared,collapse
seqneut25to26_sera_4018,A/Hawaii/70/2019_H1N1,2,0.1713,shared,collapse
seqneut25to26_sera_4018,A/HongKong/1257/2025_H3N2,2,0.3173,shared,collapse
seqneut25to26_sera_4018,A/HongKong/1382/2025_H3N2,2,0.7764,shared,collapse
seqneut25to26_sera_4018,A/Indonesia/BIOKES-I-BT074/2025_H3N2,2,0.5353,shared,collapse
seqneut25to26_sera_4018,A/Indonesia/BIOKES-INAD491/2025_H3N2,2,0.0911,shared,collapse
seqneut25to26_sera_4018,A/Lao/820-2750/2025_H3N2,2,0.1315,shared,collapse
seqneut25to26_sera_4018,A/Malaysia/IMR/SARI/2028/2025_H3N2,2,0.2223,shared,collapse
seqneut25to26_sera_4018,A/Malaysia/IMR/SARI/2406/2025_H3N2,2,1.0392,shared,collapse
seqneut25to26_sera_4018,A/Malaysia/IMR/SARI/2517/2025_H3N2,2,1.2151,shared,collapse
seqneut25to26_sera_4018,A/Massachusetts/18/2022_H3N2,2,0.3795,shared,collapse
seqneut25to26_sera_4018,A/Michigan/110/2025_H3N2,2,0.9289,shared,collapse
seqneut25to26_sera_4018,A/Minnesota/96/2025_H3N2,2,0.8219,shared,collapse
seqneut25to26_sera_4018,A/Missouri/11/2025_H1N1,2,0.2251,shared,collapse
seqneut25to26_sera_4018,A/NewSouthWales/2526015582/2025_H3N2,2,0.4399,shared,collapse
seqneut25to26_sera_4018,A/NewSouthWales/2526015584/2025_H3N2,2,1.1247,shared,collapse
seqneut25to26_sera_4018,A/Norway/8765/2025_H3N2,2,1.2513,shared,collapse
seqneut25to26_sera_4018,A/Norway/8976/2025_H3N2,2,0.3953,shared,collapse
seqneut25to26_sera_4018,A/Norway/9107/2025_H1N1,2,0.6406,shared,collapse
seqneut25to26_sera_4018,A/Norway/9556/2025_H1N1,2,0.0781,shared,collapse
seqneut25to26_sera_4018,A/Peru/GIHSN-04-1089/2025_H3N2,2,0.0475,shared,collapse
seqneut25to26_sera_4018,A/Philippines/SARI25-1425/2025_H1N1,2,0.5417,shared,collapse
seqneut25to26_sera_4018,A/Queensland/2526516675/2025_H3N2,2,0.7045,shared,collapse
seqneut25to26_sera_4018,A/SouthAfrica/PET37604/2025_H3N2,2,0.3115,shared,collapse
seqneut25to26_sera_4018,A/SouthAfrica/PET37625/2025_H3N2,2,0.3308,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2519001037/2025_H1N1,2,0.2844,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2520702747/2025_H1N1,2,0.1768,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2523012764/2025_H1N1,2,0.9876,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2523812314/2025_H3N2,2,0.7512,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2524408801/2025_H3N2,2,0.9565,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2524712956/2025_H1N1,2,0.0902,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2525607496/2025_H3N2,2,0.5193,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2527003588/2025_H3N2,2,0.113,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2527213276/2025_H3N2,2,0.2307,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2527612456/2025_H1N1,2,0.2654,shared,collapse
seqneut25to26_sera_4018,A/SouthAustralia/2527902708/2025_H3N2,2,0.129,shared,collapse
seqneut25to26_sera_4018,A/Sydney/1359/2024_H3N2,2,0.8721,shared,collapse
seqneut25to26_sera_4018,A/Sydney/400/2025_H1N1,2,0.3596,shared,collapse
seqneut25to26_sera_4018,A/Tasmania/2521815682/2025_H3N2,2,0.5952,shared,collapse
seqneut25to26_sera_4018,A/Thailand/8/2022_H3N2,2,0.5129,shared,collapse
seqneut25to26_sera_4018,A/Vermont/73/2025_H3N2,2,1.6787,shared,collapse
seqneut25to26_sera_4018,A/Victoria/4897/2022_IVR-238_H1N1,2,0.3719,shared,collapse
seqneut25to26_sera_4018,A/Wisconsin/588/2019_H1N1,2,0.292,shared,collapse
seqneut25to26_sera_4018,A/Wisconsin/67/2022_H1N1,2,0.4173,shared,collapse
seqneut25to26_sera_4018,A/Zacapa/FLU-261/2025_H1N1,2,0.268,shared,collapse
