virus,n,median_log2_fc,median_abs_log2_fc
A/NewSouthWales/2526015582/2025_H3N2,292,-0.0006685173628273589,0.04544651392806154
A/Andalucia/PMC-00977/2025_H1N1,286,-0.001144504153514525,0.042737202660020124
A/Canberra/530/2025_H1N1,299,0.010484748478824635,0.038796049649941544
A/Hawaii/44/2025_H1N1,294,0.00755418397424501,0.03522091414793671
A/Denmark/3070/2025_H1N1,297,-0.0025155979187818645,0.03471760959967618
A/Philippines/SARI25-1425/2025_H1N1,301,0.0,0.03442541489718831
A/Darwin/1405/2025_H1N1,301,0.0015821194631655544,0.033677549534877116
A/Norway/9556/2025_H1N1,295,0.0073866147456858045,0.033659311351231125
A/England/1822256/2025_H1N1,293,0.003098129410123107,0.03187701580199587
A/BritishColumbia/PHL-2473/2025_H1N1,299,0.004770677862838468,0.03159312469531628
A/Norway/9107/2025_H1N1,297,-0.0022764423514374243,0.02807076558666921
A/England/174/2025_H3N2,292,0.0,0.0
A/France/ARA-HCL025155099501/2025_H1N1,300,0.0,0.0
