serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0023,A/Bangkok/P3263/2025_H3N2,plate3-A/Bangkok/P3263/2025_H3N2,212,0.2867,0.2867
seqneut25to26_sera_0023,A/Bangkok/P3263/2025_H3N2,plate3-A/Bangkok/P3263/2025_H3N2,487,0.5355,0.5355
seqneut25to26_sera_0023,A/Bangkok/P3263/2025_H3N2,plate3-A/Bangkok/P3263/2025_H3N2,1119,0.7207,0.7207
seqneut25to26_sera_0023,A/Bangkok/P3263/2025_H3N2,plate3-A/Bangkok/P3263/2025_H3N2,2575,1.063,1
seqneut25to26_sera_0023,A/Bangkok/P3263/2025_H3N2,plate3-A/Bangkok/P3263/2025_H3N2,5921,0.5733,0.5733
seqneut25to26_sera_0023,A/Bangkok/P3263/2025_H3N2,plate3-A/Bangkok/P3263/2025_H3N2,1.362e+04,0.9338,0.9338
seqneut25to26_sera_0023,A/Belgium/H0097/2025_H3N2,plate3-A/Belgium/H0097/2025_H3N2,40,8.643e-05,8.643e-05
seqneut25to26_sera_0023,A/Belgium/H0097/2025_H3N2,plate3-A/Belgium/H0097/2025_H3N2,92,0,0
seqneut25to26_sera_0023,A/Belgium/H0097/2025_H3N2,plate3-A/Belgium/H0097/2025_H3N2,212,9.108e-05,9.108e-05
seqneut25to26_sera_0023,A/Belgium/H0097/2025_H3N2,plate3-A/Belgium/H0097/2025_H3N2,487,0.0002439,0.0002439
seqneut25to26_sera_0023,A/Belgium/H0097/2025_H3N2,plate3-A/Belgium/H0097/2025_H3N2,1119,0.02775,0.02775
seqneut25to26_sera_0023,A/Belgium/H0097/2025_H3N2,plate3-A/Belgium/H0097/2025_H3N2,2575,0.3774,0.3774
seqneut25to26_sera_0023,A/Belgium/H0097/2025_H3N2,plate3-A/Belgium/H0097/2025_H3N2,5921,0.4749,0.4749
seqneut25to26_sera_0023,A/Belgium/H0097/2025_H3N2,plate3-A/Belgium/H0097/2025_H3N2,1.362e+04,0.8652,0.8652
seqneut25to26_sera_0023,A/Bhutan/1267/2025_H3N2,plate3-A/Bhutan/1267/2025_H3N2,40,0,0
seqneut25to26_sera_0023,A/Bhutan/1267/2025_H3N2,plate3-A/Bhutan/1267/2025_H3N2,92,0,0
