strain_id,x_volume_to_add,strain
H3N2_26,9.28599018774368,A/Peru/GIHSN-04-1089/2025_H3N2
H3N2_27,36.118413685951495,A/Indonesia/BIOKES-I-BT074/2025_H3N2
H3N2_28,68.98451052502877,A/Bangkok/P2323/2025_H3N2
H3N2_29,24.25424583228872,A/Minnesota/96/2025_H3N2
H3N2_30,11.990345036201767,A/England/1837737/2025_H3N2
H3N2_31,27.55264528225584,A/Bhutan/1267/2025_H3N2
H3N2_32,19.309860613986118,A/Ghana/FS-25-7077/2025_H3N2
H3N2_33,33.24655016378084,A/Belgium/H0097/2025_H3N2
H3N2_34,47.47797730055691,A/HongKong/1382/2025_H3N2
H3N2_35,34.32869401208478,A/SouthAustralia/2527213276/2025_H3N2
H3N2_36,30.14243964135036,A/Indonesia/BIOKES-INAD491/2025_H3N2
H3N2_37,85.66711859269476,A/Malaysia/IMR/SARI/2028/2025_H3N2
H3N2_38,37.53788528995496,A/Bangkok/P2921/2025_H3N2
H3N2_39,117.33928414778023,A/Bahia/3102/2025_H3N2
H3N2_41,32.79172644658313,A/DistrictOfColumbia/57/2025_H3N2
H3N2_42,23.951310295193455,A/England/1837734/2025_H3N2
H3N2_43,21.42755673273698,A/Alagoas/4130/2025_H3N2
H3N2_44,48.090593653693944,A/Guangdong-Meijiang/11256/2025_H3N2
H3N2_45,30.66282948120526,A/DistritoFederal/2578578201/2025_H3N2
H3N2_46,139.18182505379454,A/SouthAustralia/2523812314/2025_H3N2
H3N2_47,24.864990653408135,A/Darwin/1461/2025_H3N2
H3N2_48,13.818274518549412,A/HongKong/1257/2025_H3N2
H3N2_49,9.167408602170298,A/Michigan/110/2025_H3N2
H3N2_50,6.886436727582626,A/SouthAustralia/2525607496/2025_H3N2
H3N2_51,13.26127050561501,A/Lao/820-2750/2025_H3N2
H3N2_52,52.158101809033084,A/SouthAfrica/PET37604/2025_H3N2
H3N2_53,17.023792561300695,A/SouthAfrica/PET37625/2025_H3N2
H3N2_54,18.891510327686607,A/Guangxi-Daxin/1643/2025_H3N2
,626.120713226152,A/Wisconsin/588/2019_H1N1
,454.45567941517976,A/Hawaii/70/2019_H1N1
,414.3621260909493,A/Croatia/10136RV/2023-egg_H3N2
,413.6037924869503,A/Wisconsin/67/2022_H1N1
,330.0578601558416,A/Thailand/8/2022_H3N2
,139.07351482686354,A/Massachusetts/18/2022_H3N2
,113.05914565470619,A/Victoria/4897/2022_IVR-238_H1N1
,45.612964425767025,A/DistrictOfColumbia/27/2023_H3N2
