strain,fraction_strain,mean_ratio_to_add,x_volume_to_add,accession,strain_type,subclade,num_date,vaccine_type,strain_id
A/England/1822256/2025_H1N1,0.000801097284618137,10.149084659248862,152.23626988873292,PV772324,circulating_2025to2026,,,,H1N1_45
A/SouthAustralia/2518902563/2025_H1N1,0.00019679561086152745,57.96270878256405,869.4406317384608,PV728578_F12S_P288Q_V338I,circulating_2025to2026,,,,H1N1_46
A/Ghana/ARI-25-1125/2025_H1N1,0.0008257291463201728,10.553742599237665,158.30613898856498,PV283252,circulating_2025to2026,,,,H1N1_47
A/Hawaii/44/2025_H1N1,0.000988213005968689,9.147245590413517,137.20868385620275,PX400002,circulating_2025to2026,,,,H1N1_48
A/Norway/8765/2025_H3N2,0.005271131976650724,1.734783755190456,26.02175632785684,PX422923,circulating_2025to2026,,,,H3N2_1
A/NewSouthWales/2526015582/2025_H3N2,0.007343924745773259,1.1996153771397173,17.99423065709576,PX422923_V104I,circulating_2025to2026,,,,H3N2_2
A/Bangkok/P2390/2025_H3N2,0.0050573965591449895,1.851857233299654,27.77785849949481,PX422972,circulating_2025to2026,,,,H3N2_3
A/SouthAustralia/2527003588/2025_H3N2,0.005473286097777255,1.416315268911166,21.24472903366749,PX422923_K223Q_V239I,circulating_2025to2026,,,,H3N2_4
A/Queensland/2526516675/2025_H3N2,0.002599396044036583,3.10428728082582,46.5643092123873,PX422923_V104I_I230T,circulating_2025to2026,,,,H3N2_5
A/SouthAustralia/2527902708/2025_H3N2,0.005288590348804447,1.6044791344319491,24.067187016479238,PX422923_S112C_K223Q_V239I,circulating_2025to2026,,,,H3N2_6
A/Bangkok/P2572/2025_H3N2,0.006209908404045502,1.5007431532363393,22.51114729854509,PX422972_S295T,circulating_2025to2026,,,,H3N2_7
A/DistritoFederal/250106000728/2025_H3N2,0.004076357042724612,2.313873569207219,34.70810353810829,PV721449,circulating_2025to2026,,,,H3N2_8
A/Malaysia/IMR/SARI/2517/2025_H3N2,0.004949362077995709,1.7985550666976724,26.978326000465085,PX422923_F95V,circulating_2025to2026,,,,H3N2_9
A/Norway/8976/2025_H3N2,0.005316938596658018,1.5110895909621018,22.66634386443153,PX422923_I83M,circulating_2025to2026,,,,H3N2_10
A/NewSouthWales/2526015584/2025_H3N2,0.0018989004682646552,4.5332991379087755,67.99948706863164,PX422923_F190S,circulating_2025to2026,,,,H3N2_11
A/Tasmania/2521815682/2025_H3N2,0.0038944269764692257,2.0223880412696893,30.33582061904534,PX422988_K18R,circulating_2025to2026,,,,H3N2_12
A/SouthAustralia/2524408801/2025_H3N2,0.007194837161787254,1.268354275093934,19.02531412640901,PX422923_P71S,circulating_2025to2026,,,,H3N2_13
A/Bangkok/P3263/2025_H3N2,0.002758768510628,3.529888821270399,52.948332319055986,PX422972_S112G,circulating_2025to2026,,,,H3N2_14
A/California/61/2025_H3N2,0.005011935649477372,2.066383663123106,30.99575494684659,PX467772,circulating_2025to2026,,,,H3N2_15
A/Vermont/73/2025_H3N2,0.005420219560636729,1.6076560575920291,24.11484086388044,PX422988_I258M,circulating_2025to2026,,,,H3N2_16
A/Bhutan/7/2025_H3N2,0.011815687989504234,0.7343492485387229,11.015238728080842,PX103359,circulating_2025to2026,,,,H3N2_17
A/Anapolis/LEIAL6543/2025_H3N2,0.004452144181954266,1.98657035117868,29.7985552676802,PP535496_K205R,circulating_2025to2026,,,,H3N2_18
A/Galicia/GA-CHUAC-451/2025_H3N2,0.017282059880487935,0.519751346783323,7.796270201749845,PV887270,circulating_2025to2026,,,,H3N2_19
A/Guangdong-Maonan/11438/2025_H3N2,0.013890295737910077,0.6498830835409137,9.748246253113706,PV538018_A320T,circulating_2025to2026,,,,H3N2_20
A/Alaska/63/2025_H3N2,0.0037690205507511423,2.0864864678550035,31.297297017825052,PV249498,circulating_2025to2026,,,,H3N2_21
A/Malaysia/IMR/SARI/2406/2025_H3N2,0.005122822240928993,1.7480558682762701,26.22083802414405,PX422923_K151E,circulating_2025to2026,,,,H3N2_22
A/England/174/2025_H3N2,0.016054010326367846,0.532904398176059,7.9935659726408845,PV538018,circulating_2025to2026,,,,H3N2_23
A/Arica/59150/2025_H3N2,0.0006212414804008166,10.572262991289861,158.58394486934793,PX268912,circulating_2025to2026,,,,H3N2_24
A/Bangkok/P2391/2025_H3N2,0.025960772247756773,0.3452192359432836,5.1782885391492535,PX462976_A307D,circulating_2025to2026,,,,H3N2_25
A/Peru/GIHSN-04-1089/2025_H3N2,0.024048907641754203,0.3714396075097472,5.571594112646208,PV887270_G94S,circulating_2025to2026,,,,H3N2_26
A/Indonesia/BIOKES-I-BT074/2025_H3N2,0.005985974531519276,1.4447365474380598,21.6710482115709,PX445267,circulating_2025to2026,,,,H3N2_27
A/Bangkok/P2323/2025_H3N2,0.0031477790703503257,2.7593804210011506,41.390706315017255,PX422988,circulating_2025to2026,,,,H3N2_28
A/Minnesota/96/2025_H3N2,0.008899880557077642,0.9701698332915488,14.552547499373233,PX400138_S161N,circulating_2025to2026,,,,H3N2_29
A/England/1837737/2025_H3N2,0.018673630425275575,0.47961380144807064,7.194207021721059,PX462976_S215P_A307D,circulating_2025to2026,,,,H3N2_30
A/Bhutan/1267/2025_H3N2,0.007849698972721725,1.1021058112902336,16.531587169353504,PX422896_S8G_I239V,circulating_2025to2026,,,,H3N2_31
A/Ghana/FS-25-7077/2025_H3N2,0.011011911449753595,0.7723944245594447,11.585916368391672,PX422923_R277L_A388T,circulating_2025to2026,,,,H3N2_32
A/Belgium/H0097/2025_H3N2,0.006221748983179463,1.3298620065512334,19.9479300982685,PX422923_N18K_R205K,circulating_2025to2026,,,,H3N2_33
A/HongKong/1382/2025_H3N2,0.004545831684006921,1.8991190920222765,28.48678638033415,PX422972_S161N_R315K,circulating_2025to2026,,,,H3N2_34
A/SouthAustralia/2527213276/2025_H3N2,0.006381294304940719,1.3731477604833913,20.59721640725087,PX422923_Q96K_V422I,circulating_2025to2026,,,,H3N2_35
A/Indonesia/BIOKES-INAD491/2025_H3N2,0.007366828055776906,1.2056975856540144,18.085463784810216,PV584644_S160G_S416A,circulating_2025to2026,,,,H3N2_36
A/Malaysia/IMR/SARI/2028/2025_H3N2,0.0024554941151457427,3.4266847437077907,51.40027115561686,PX445195_E292D,circulating_2025to2026,,,,H3N2_37
A/Bangkok/P2921/2025_H3N2,0.005897299829391947,1.5015154115981983,22.522731173972975,PV885135,circulating_2025to2026,,,,H3N2_38
A/Bahia/3102/2025_H3N2,0.002119722947733782,4.693571365911209,70.40357048866814,PX268912_G21E_F369Y,circulating_2025to2026,,,,H3N2_39
A/DistrictOfColumbia/57/2025_H3N2,0.006751809361490288,1.311669057863325,19.675035867949873,PX422923_A3T_M184I,circulating_2025to2026,,,,H3N2_41
A/England/1837734/2025_H3N2,0.009476784686414793,0.9580524118077383,14.370786177116074,PX422923_P255S_I518L,circulating_2025to2026,,,,H3N2_42
A/Alagoas/4130/2025_H3N2,0.01018194735177237,0.8571022693094793,12.85653403964219,PP685422_N161S_I316V,circulating_2025to2026,,,,H3N2_43
A/Guangdong-Meijiang/11256/2025_H3N2,0.004503482167396404,1.9236237461477579,28.85435619221637,PV538018_I230T_E292G,circulating_2025to2026,,,,H3N2_44
A/DistritoFederal/2578578201/2025_H3N2,0.0075296576257651,1.2265131792482105,18.397697688723156,PX268912_N79D_Y249H_V325I,circulating_2025to2026,,,,H3N2_45
A/SouthAustralia/2523812314/2025_H3N2,0.0015091984878629742,5.567273002151781,83.50909503227672,PX422988_S8G_G78R_V95F_N160S,circulating_2025to2026,,,,H3N2_46
A/Darwin/1461/2025_H3N2,0.008998235148715946,0.9945996261363254,14.91899439204488,PV498778_R78K,circulating_2025to2026,,,,H3N2_47
A/HongKong/1257/2025_H3N2,0.016001721637491594,0.5527309807419765,8.290964711129647,PV893869_N79K_S161N_K223Q_A320T,circulating_2025to2026,,,,H3N2_48
A/Michigan/110/2025_H3N2,0.02454085345511556,0.3666963440868119,5.500445161302179,PX103325,circulating_2025to2026,,,,H3N2_49
A/SouthAustralia/2525607496/2025_H3N2,0.029810602590407576,0.27545746910330504,4.131862036549576,PX252676_T151A_I176M_I283V,circulating_2025to2026,,,,H3N2_50
A/Lao/820-2750/2025_H3N2,0.017256736598106545,0.5304508202246004,7.956762303369007,PV617044_Q73R_T151A,circulating_2025to2026,,,,H3N2_51
A/SouthAfrica/PET37604/2025_H3N2,0.004008424960977946,2.0863240723613234,31.294861085419853,PQ422645_P71T_N175S_S215T_G402E,circulating_2025to2026,,,,H3N2_52
A/SouthAfrica/PET37625/2025_H3N2,0.01307882714310161,0.6809517024520279,10.214275536780418,PQ422645_T144I_N175S_I176M_N398D_E406G,circulating_2025to2026,,,,H3N2_53
A/Guangxi-Daxin/1643/2025_H3N2,0.011655624102233461,0.7556604131074643,11.334906196611966,OZ273587_T26M,circulating_2025to2026,,,,H3N2_54
A/Croatia/10136RV/2023-egg_H3N2,0.0005569393572207654,16.57448504363797,248.61727565456957,PV262858_D202A,vaccine,J.2,2023.923,egg,
A/DistrictOfColumbia/27/2023_H3N2,0.004792150301027278,1.8245185770306809,27.367778655460214,,vaccine,J.2,2023.936,cell,
A/Hawaii/70/2019_H1N1,0.0005230597439323514,18.17822717660719,272.67340764910784,,vaccine,,,cell,
A/Massachusetts/18/2022_H3N2,0.00159078612802691,5.562940593074542,83.44410889611812,,vaccine,J,2022.422,cell,
A/Thailand/8/2022_H3N2,0.0008977233245580525,13.202314406233663,198.03471609350495,,vaccine,J,2022.997,egg,
A/Victoria/4897/2022_IVR-238_H1N1,0.0017622584565070464,4.522365826188247,67.83548739282371,,vaccine,D,2022.997,egg,
A/Wisconsin/588/2019_H1N1,0.00038261491843828813,25.044828529046082,375.67242793569125,,vaccine,,,cell,
A/Wisconsin/67/2022_H1N1,0.00047189461366005267,16.54415169947801,248.16227549217015,,vaccine,C.1.1,2022.815,cell,
