comparison_id,run_a,run_b,run_a_commit,run_b_commit,section,metric,stratum,value_a,value_b,delta,n,test,statistic,p_value,higher_is_better,note
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,variance,median_between_plate_sd_log2,run=collapse,,0.4754,,91.0,,,,False,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,variance,predicted_pct_sd_reduction_from_replicate_averaging,run=no_collapse,7.8007,,,25480.0,,,,,upper bound on what keeping replicates separate can buy; compare against the observed reproducibility gap in section 2
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,curvefits,median_r2,all,0.9471,0.9611,0.013999999999999901,,,,,True,distributions over all fitted curves; curve counts differ by design
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,curvefits,mean_r2,all,0.9028,0.924,0.021199999999999997,,,,,True,distributions over all fitted curves; curve counts differ by design
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,curvefits,frac_r2_below_0.9,all,0.3137,0.2297,-0.08399999999999999,,,,,False,distributions over all fitted curves; curve counts differ by design
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,curvefits,median_rmsd,all,0.0716,0.0614,-0.010199999999999994,,,,,False,distributions over all fitted curves; curve counts differ by design
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,curvefits,n_curves,all,56403.0,27932.0,-28471.0,,,,,,"not a quality metric: collapsing fits one curve per strain, not per barcode"
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,retention,barcode_or_well_stage_drops,all,192.0,31.0,-161.0,,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,retention,curvefit_stage_drops,all,863.0,96.0,-767.0,,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,retention,per_serum_qc_titer_drops,all,21.0,0.0,-21.0,,,,,,CONFOUNDED: see the note in this section
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,retention,n_final_titers,all,27864.0,27841.0,-23.0,,,,,,
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,retention,frac_titers_with_1_replicate,all,0.0479,0.9967,0.9488000000000001,,,,,False,a titer with one replicate cannot fail max_fold_change_from_median
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,coherence,pc1_to_5_cum_frac_var,all,0.8995,0.8979,-0.0015999999999999348,12375.0,,,,True,identical 225 sera x 55 strains submatrix
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,context,median_barcodes_per_strain,all,2.0,2.0,0.0,,,,,,"library property, identical in both runs unless the library changed"
collapse_vs_noncollapse_barcode_comparison,no_collapse,collapse,f584e886,69656005,context,frac_barcode_wells_below_50_counts,all,0.065349,0.065349,0.0,74400.0,,,,,sampled 400 of 2681 count files; dataset property
