group,serum,plates
human,seqneut25to26_sera_4004,plate15
human,seqneut25to26_sera_4005,plate15
human,seqneut25to26_sera_4006,plate15
human,seqneut25to26_sera_4007,plate15
human,seqneut25to26_sera_4008,plate15
human,seqneut25to26_sera_4009,plate16-2
human,seqneut25to26_sera_4010,plate16-2
human,seqneut25to26_sera_4011,plate16-2
human,seqneut25to26_sera_4012,plate16-2
human,seqneut25to26_sera_4013,plate16-2
human,seqneut25to26_sera_4014,plate16-2
human,seqneut25to26_sera_4015,plate16-2
human,seqneut25to26_sera_4016,plate16-2
human,seqneut25to26_sera_4017,plate16-2
human,seqneut25to26_sera_4018,plate16-2;plate25
human,seqneut25to26_sera_4019,plate25
human,seqneut25to26_sera_4020,plate25
human,seqneut25to26_sera_4021,plate25
human,seqneut25to26_sera_4022,plate25
human,seqneut25to26_sera_4023,plate25
human,seqneut25to26_sera_4024,plate25
human,seqneut25to26_sera_4025,plate25
human,seqneut25to26_sera_4026,plate25
human,seqneut25to26_sera_4027,plate25
human,seqneut25to26_sera_4028,plate25
human,seqneut25to26_sera_4029,plate26
human,seqneut25to26_sera_4030,plate26
human,seqneut25to26_sera_4031,plate26
human,seqneut25to26_sera_4032,plate26
human,seqneut25to26_sera_4033,plate26
human,seqneut25to26_sera_4034,plate26
human,seqneut25to26_sera_4035,plate26
human,seqneut25to26_sera_4036,plate26
human,seqneut25to26_sera_4037,plate26
human,seqneut25to26_sera_4038,plate26
human,seqneut25to26_sera_4039,plate26
human,seqneut25to26_sera_4040,plate27
human,seqneut25to26_sera_4041,plate27
human,seqneut25to26_sera_4042,plate27
human,seqneut25to26_sera_4043,plate27
human,seqneut25to26_sera_4044,plate27
human,seqneut25to26_sera_4045,plate27
human,seqneut25to26_sera_4046,plate27
human,seqneut25to26_sera_4047,plate27
human,seqneut25to26_sera_4048,plate27
human,seqneut25to26_sera_4049,plate27
human,seqneut25to26_sera_4050,plate27
human,seqneut25to26_sera_4077,plate28
human,seqneut25to26_sera_4078,plate28
human,seqneut25to26_sera_4079,plate28
human,seqneut25to26_sera_4080,plate28
human,seqneut25to26_sera_4081,plate28
human,seqneut25to26_sera_4082,plate28
human,seqneut25to26_sera_4083,plate28
human,seqneut25to26_sera_4084,plate28
human,seqneut25to26_sera_4085,plate28
human,seqneut25to26_sera_4086,plate28
human,seqneut25to26_sera_4087,plate28
human,seqneut25to26_sera_5001,plate21
human,seqneut25to26_sera_5002,plate21
human,seqneut25to26_sera_5003,plate21
human,seqneut25to26_sera_5004,plate21
human,seqneut25to26_sera_5005,plate21
human,seqneut25to26_sera_5006,plate21
human,seqneut25to26_sera_5007,plate21
human,seqneut25to26_sera_5008,plate22
human,seqneut25to26_sera_5009,plate22
human,seqneut25to26_sera_5010,plate22
human,seqneut25to26_sera_5011,plate22
human,seqneut25to26_sera_5012,plate22
human,seqneut25to26_sera_5013,plate22
human,seqneut25to26_sera_5014,plate22
human,seqneut25to26_sera_5015,plate22
human,seqneut25to26_sera_5016,plate22
human,seqneut25to26_sera_5017,plate22
human,seqneut25to26_sera_5018,plate22
human,seqneut25to26_sera_5019,plate23
human,seqneut25to26_sera_5020,plate23
human,seqneut25to26_sera_5021,plate23
human,seqneut25to26_sera_5022,plate23
human,seqneut25to26_sera_5023,plate23
human,seqneut25to26_sera_5024,plate23
human,seqneut25to26_sera_5025,plate23
human,seqneut25to26_sera_5026,plate23
human,seqneut25to26_sera_5027,plate23
human,seqneut25to26_sera_5028,plate23
human,seqneut25to26_sera_5029,plate23
human,seqneut25to26_sera_5030,plate24
human,seqneut25to26_sera_5031,plate24
human,seqneut25to26_sera_5032,plate24
human,seqneut25to26_sera_5033,plate24
human,seqneut25to26_sera_5034,plate24
human,seqneut25to26_sera_5035,plate24
human,seqneut25to26_sera_5036,plate24
human,seqneut25to26_sera_5037,plate24
human,seqneut25to26_sera_5038,plate24
human,seqneut25to26_sera_5039,plate24
human,seqneut25to26_sera_5040,plate24
