strain,plasmid_log_ID
flu-seqneut-25to26_H3N2_17_bc1,plate5-A5_A_Bhutan_7_2025_bc1.gb
flu-seqneut-25to26_H3N2_17_bc2,plate5-B5_A_Bhutan_7_2025_bc2.gb
flu-seqneut-25to26_H3N2_18_bc1,plate5-C5_A_Anapolis_LEIAL6543_2025_bc1.gb
flu-seqneut-25to26_H3N2_18_bc2,plate5-D5_A_Anapolis_LEIAL6543_2025_bc2.gb
flu-seqneut-25to26_H3N2_19_bc1,plate5-E5_A_Galicia_GA-CHUAC-451_2025_bc1.gb
flu-seqneut-25to26_H3N2_19_bc2,plate5-F5_A_Galicia_GA-CHUAC-451_2025_bc2.gb
flu-seqneut-25to26_H3N2_20_bc1,plate5-G5_A_Guangdong-Maonan_11438_2025_bc1.gb
flu-seqneut-25to26_H3N2_20_bc2,plate5-H5_A_Guangdong-Maonan_11438_2025_bc2.gb
flu-seqneut-25to26_H3N2_21_bc1,plate5-A6_A_Alaska_63_2025_bc1.gb
flu-seqneut-25to26_H3N2_21_bc2,plate5-B6_A_Alaska_63_2025_bc2.gb
flu-seqneut-25to26_H3N2_22_bc1,plate5-C6_A_Malaysia_IMR_SARI_2406_2025_bc1.gb
flu-seqneut-25to26_H3N2_22_bc2,plate5-D6_A_Malaysia_IMR_SARI_2406_2025_bc2.gb
flu-seqneut-25to26_H3N2_23_bc1,plate5-E6_A_England_174_2025_bc1.gb
flu-seqneut-25to26_H3N2_23_bc2,plate5-F6_A_England_174_2025_bc2.gb
flu-seqneut-25to26_H3N2_24_bc1,plate5-G6_A_Arica_59150_2025_bc1.gb
flu-seqneut-25to26_H3N2_24_bc2,plate5-H6_A_Arica_59150_2025_bc2.gb
flu-seqneut-25to26_H3N2_25_bc1,plate5-A7_A_Bangkok_P2391_2025_bc1.gb
flu-seqneut-25to26_H3N2_25_bc2,plate5-B7_A_Bangkok_P2391_2025_bc2.gb
flu-seqneut-25to26_H3N2_26_bc1,plate5-C7_A_Peru_GIHSN-04-1089_2025_bc1.gb
flu-seqneut-25to26_H3N2_26_bc2,plate5-D7_A_Peru_GIHSN-04-1089_2025_bc2.gb
flu-seqneut-25to26_H3N2_27_bc1,plate5-E7_A_Indonesia_BIOKES-I-BT074_2025_bc1.gb
flu-seqneut-25to26_H3N2_27_bc2,plate5-F7_A_Indonesia_BIOKES-I-BT074_2025_bc2.gb
flu-seqneut-25to26_H3N2_28_bc1,plate5-G7_A_Bangkok_P2323_2025_bc1.gb
flu-seqneut-25to26_H3N2_28_bc2,plate5-H7_A_Bangkok_P2323_2025_bc2.gb
flu-seqneut-25to26_H3N2_29_bc1,plate5-A8_A_Minnesota_96_2025_bc1.gb
flu-seqneut-25to26_H3N2_29_bc2,plate5-B8_A_Minnesota_96_2025_bc2.gb
flu-seqneut-25to26_H3N2_30_bc1,plate5-C8_A_England_1837737_2025_bc1.gb
flu-seqneut-25to26_H3N2_30_bc2,plate5-D8_A_England_1837737_2025_bc2.gb
flu-seqneut-25to26_H3N2_31_bc1,plate5-E8_A_Bhutan_1267_2025_bc1.gb
flu-seqneut-25to26_H3N2_31_bc2,plate5-F8_A_Bhutan_1267_2025_bc2.gb
flu-seqneut-25to26_H3N2_32_bc1,plate5-G8_A_Ghana_FS-25-7077_2025_bc1.gb
flu-seqneut-25to26_H3N2_32_bc2,plate5-H8_A_Ghana_FS-25-7077_2025_bc2.gb
flu-seqneut-25to26_H3N2_33_bc1,plate5-A9_A_Belgium_H0097_2025_bc1.gb
flu-seqneut-25to26_H3N2_33_bc2,plate5-B9_A_Belgium_H0097_2025_bc2.gb
flu-seqneut-25to26_H3N2_34_bc1,plate5-C9_A_HongKong_1382_2025_bc1.gb
flu-seqneut-25to26_H3N2_34_bc2,plate5-D9_A_HongKong_1382_2025_bc2.gb
flu-seqneut-25to26_H3N2_35_bc1,plate5-E9_A_SouthAustralia_2527213276_2025_bc1.gb
flu-seqneut-25to26_H3N2_35_bc2,plate5-F9_A_SouthAustralia_2527213276_2025_bc2.gb
flu-seqneut-25to26_H3N2_36_bc1,plate5-G9_A_Indonesia_BIOKES-INAD491_2025_bc1.gb
flu-seqneut-25to26_H3N2_36_bc2,plate5-H9_A_Indonesia_BIOKES-INAD491_2025_bc2.gb
flu-seqneut-25to26_H3N2_37_bc1,plate5-A10_A_Malaysia_IMR_SARI_2028_2025_bc1.gb
flu-seqneut-25to26_H3N2_37_bc2,plate5-B10_A_Malaysia_IMR_SARI_2028_2025_bc2.gb
flu-seqneut-25to26_H3N2_38_bc1,plate5-C10_A_Bangkok_P2921_2025_bc1.gb
flu-seqneut-25to26_H3N2_38_bc2,plate5-D10_A_Bangkok_P2921_2025_bc2.gb
flu-seqneut-25to26_H3N2_39_bc1,plate5-E10_A_Bahia_3102_2025_bc1.gb
flu-seqneut-25to26_H3N2_39_bc2,plate5-F10_A_Bahia_3102_2025_bc2.gb
flu-seqneut-25to26_H3N2_40_bc1,plate5-G10_A_SuratThani_P3371_2025_bc1.gb
flu-seqneut-25to26_H3N2_40_bc2,plate5-H10_A_SuratThani_P3371_2025_bc2.gb
flu-seqneut-25to26_H3N2_41_bc1,plate5-A11_A_DistrictOfColumbia_57_2025_bc1.gb
flu-seqneut-25to26_H3N2_41_bc2,plate5-B11_A_DistrictOfColumbia_57_2025_bc2.gb
flu-seqneut-25to26_H3N2_42_bc1,plate5-C11_A_England_1837734_2025_bc1.gb
flu-seqneut-25to26_H3N2_42_bc2,plate5-D11_A_England_1837734_2025_bc2.gb
flu-seqneut-25to26_H3N2_43_bc1,plate5-E11_A_Alagoas_4130_2025_bc1.gb
flu-seqneut-25to26_H3N2_43_bc2,plate5-F11_A_Alagoas_4130_2025_bc2.gb
flu-seqneut-25to26_H3N2_44_bc1,plate5-G11_A_Guangdong-Meijiang_11256_2025_bc1.gb
flu-seqneut-25to26_H3N2_44_bc2,plate5-H11_A_Guangdong-Meijiang_11256_2025_bc2.gb
flu-seqneut-25to26_H3N2_45_bc1,plate5-A12_A_DistritoFederal_2578578201_2025_bc1.gb
flu-seqneut-25to26_H3N2_45_bc2,plate5-B12_A_DistritoFederal_2578578201_2025_bc2.gb
flu-seqneut-25to26_H3N2_46_bc1,plate5-C12_A_SouthAustralia_2523812314_2025_bc1.gb
flu-seqneut-25to26_H3N2_46_bc2,plate5-D12_A_SouthAustralia_2523812314_2025_bc2.gb
flu-seqneut-25to26_H3N2_47_bc1,plate5-E12_A_Darwin_1461_2025_bc1.gb
flu-seqneut-25to26_H3N2_47_bc2,plate5-F12_A_Darwin_1461_2025_bc2.gb
flu-seqneut-25to26_H3N2_48_bc1,plate5-G12_A_HongKong_1257_2025_bc1.gb
flu-seqneut-25to26_H3N2_48_bc2,plate5-H12_A_HongKong_1257_2025_bc2.gb
flu-seqneut-25to26_H3N2_49_bc1,plate6-A1_A_Michigan_110_2025_bc1.gb
flu-seqneut-25to26_H3N2_49_bc2,plate6-B1_A_Michigan_110_2025_bc2.gb
flu-seqneut-25to26_H3N2_50_bc1,plate6-C1_A_SouthAustralia_2525607496_2025_bc1.gb
flu-seqneut-25to26_H3N2_50_bc2,plate6-D1_A_SouthAustralia_2525607496_2025_bc2.gb
flu-seqneut-25to26_H3N2_51_bc1,plate6-E1_A_Lao_820-2750_2025_bc1.gb
flu-seqneut-25to26_H3N2_51_bc2,plate6-F1_A_Lao_820-2750_2025_bc2.gb
flu-seqneut-25to26_H3N2_52_bc1,plate6-G1_A_SouthAfrica_PET37604_2025_bc1.gb
flu-seqneut-25to26_H3N2_52_bc2,plate6-H1_A_SouthAfrica_PET37604_2025_bc2.gb
flu-seqneut-25to26_H3N2_53_bc1,plate6-A2_A_SouthAfrica_PET37625_2025_bc1.gb
flu-seqneut-25to26_H3N2_53_bc2,plate6-B2_A_SouthAfrica_PET37625_2025_bc2.gb
flu-seqneut-25to26_H3N2_54_bc1,plate6-C2_A_Guangxi-Daxin_1643_2025_bc1.gb
flu-seqneut-25to26_H3N2_54_bc2,plate6-D2_A_Guangxi-Daxin_1643_2025_bc2.gb
flu-seqneut-25to26_H1N1_1_bc1,plate7-A1_A_Colorado_105_2025_bc1.gb
flu-seqneut-25to26_H1N1_1_bc2,plate7-B1_A_Colorado_105_2025_bc2.gb
flu-seqneut-25to26_H1N1_2_bc1,plate7-C1_A_Galicia_GA-CHUAC-449_2025_bc1.gb
flu-seqneut-25to26_H1N1_2_bc2,plate7-D1_A_Galicia_GA-CHUAC-449_2025_bc2.gb
flu-seqneut-25to26_H1N1_3_bc1,plate7-E1_A_Andalucia_PMC-00977_2025_bc1.gb
flu-seqneut-25to26_H1N1_3_bc2,plate7-F1_A_Andalucia_PMC-00977_2025_bc2.gb
flu-seqneut-25to26_H1N1_4_bc1,plate7-G1_A_SouthAustralia_2524712956_2025_bc1.gb
flu-seqneut-25to26_H1N1_4_bc2,plate7-H1_A_SouthAustralia_2524712956_2025_bc2.gb
flu-seqneut-25to26_H1N1_5_bc1,plate7-A2_A_Norway_9556_2025_bc1.gb
flu-seqneut-25to26_H1N1_5_bc2,plate7-B2_A_Norway_9556_2025_bc2.gb
flu-seqneut-25to26_H1N1_6_bc1,plate7-C2_A_Bangkok_P2277_2025_bc1.gb
flu-seqneut-25to26_H1N1_6_bc2,plate7-D2_A_Bangkok_P2277_2025_bc2.gb
flu-seqneut-25to26_H1N1_7_bc1,plate7-E2_A_Alagoas_4131_2025_bc1.gb
flu-seqneut-25to26_H1N1_7_bc2,plate7-F2_A_Alagoas_4131_2025_bc2.gb
flu-seqneut-25to26_H1N1_8_bc1,plate7-G2_A_Denmark_3070_2025_bc1.gb
flu-seqneut-25to26_H1N1_8_bc2,plate7-H2_A_Denmark_3070_2025_bc2.gb
flu-seqneut-25to26_H1N1_9_bc1,plate7-A3_A_Bangkok_1803_2025_bc1.gb
flu-seqneut-25to26_H1N1_9_bc2,plate7-B3_A_Bangkok_1803_2025_bc2.gb
flu-seqneut-25to26_H1N1_10_bc1,plate7-C3_A_Aragon_2046_2025_bc1.gb
flu-seqneut-25to26_H1N1_10_bc2,plate7-D3_A_Aragon_2046_2025_bc2.gb
flu-seqneut-25to26_H1N1_11_bc1,plate7-E3_A_Canberra_465_2025_bc1.gb
flu-seqneut-25to26_H1N1_11_bc2,plate7-F3_A_Canberra_465_2025_bc2.gb
flu-seqneut-25to26_H1N1_12_bc1,plate7-G3_A_Bangkok_P2229_2025_bc1.gb
flu-seqneut-25to26_H1N1_12_bc2,plate7-H3_A_Bangkok_P2229_2025_bc2.gb
flu-seqneut-25to26_H1N1_13_bc1,plate7-A4_A_Victoria_1493_2025_bc1.gb
flu-seqneut-25to26_H1N1_13_bc2,plate7-B4_A_Victoria_1493_2025_bc2.gb
flu-seqneut-25to26_H1N1_14_bc1,plate7-C4_A_Lao_820-2765_2025_bc1.gb
flu-seqneut-25to26_H1N1_14_bc2,plate7-D4_A_Lao_820-2765_2025_bc2.gb
flu-seqneut-25to26_H1N1_15_bc1,plate7-E4_A_France_ARA-HCL025155099501_2025_bc1.gb
flu-seqneut-25to26_H1N1_15_bc2,plate7-F4_A_France_ARA-HCL025155099501_2025_bc2.gb
flu-seqneut-25to26_H1N1_16_bc1,plate7-G4_A_SouthAustralia_2527612456_2025_bc1.gb
flu-seqneut-25to26_H1N1_16_bc2,plate7-H4_A_SouthAustralia_2527612456_2025_bc2.gb
flu-seqneut-25to26_H1N1_17_bc1,plate7-A5_A_Guangxi-Qingxiu_SWL11742_2025_bc1.gb
flu-seqneut-25to26_H1N1_17_bc2,plate7-B5_A_Guangxi-Qingxiu_SWL11742_2025_bc2.gb
flu-seqneut-25to26_H1N1_18_bc1,plate7-C5_A_Darwin_1405_2025_bc1.gb
flu-seqneut-25to26_H1N1_18_bc2,plate7-D5_A_Darwin_1405_2025_bc2.gb
flu-seqneut-25to26_H1N1_19_bc1,plate7-E5_A_Queensland_159_2025_bc1.gb
flu-seqneut-25to26_H1N1_19_bc2,plate7-F5_A_Queensland_159_2025_bc2.gb
flu-seqneut-25to26_H1N1_20_bc1,plate7-G5_A_Catalonia_NSAV198331894_2025_bc1.gb
flu-seqneut-25to26_H1N1_20_bc2,plate7-H5_A_Catalonia_NSAV198331894_2025_bc2.gb
flu-seqneut-25to26_H1N1_21_bc1,plate7-A6_A_SouthAustralia_2523011822_2025_bc1.gb
flu-seqneut-25to26_H1N1_21_bc2,plate7-B6_A_SouthAustralia_2523011822_2025_bc2.gb
flu-seqneut-25to26_H1N1_22_bc1,plate7-C6_A_BritishColumbia_PHL-2467_2025_bc1.gb
flu-seqneut-25to26_H1N1_22_bc2,plate7-D6_A_BritishColumbia_PHL-2467_2025_bc2.gb
flu-seqneut-25to26_H1N1_23_bc1,plate7-E6_A_Catalonia_NSVH102689455_2025_bc1.gb
flu-seqneut-25to26_H1N1_23_bc2,plate7-F6_A_Catalonia_NSVH102689455_2025_bc2.gb
flu-seqneut-25to26_H1N1_24_bc1,plate7-G6_A_SouthAustralia_2519001037_2025_bc1.gb
flu-seqneut-25to26_H1N1_24_bc2,plate7-H6_A_SouthAustralia_2519001037_2025_bc2.gb
flu-seqneut-25to26_H1N1_25_bc1,plate7-A7_A_Alagoas_3579_2025_bc1.gb
flu-seqneut-25to26_H1N1_25_bc2,plate7-B7_A_Alagoas_3579_2025_bc2.gb
flu-seqneut-25to26_H1N1_26_bc1,plate7-C7_A_Zacapa_FLU-261_2025_bc1.gb
flu-seqneut-25to26_H1N1_26_bc2,plate7-D7_A_Zacapa_FLU-261_2025_bc2.gb
flu-seqneut-25to26_H1N1_27_bc1,plate7-E7_A_Sydney_400_2025_bc1.gb
flu-seqneut-25to26_H1N1_27_bc2,plate7-F7_A_Sydney_400_2025_bc2.gb
flu-seqneut-25to26_H1N1_28_bc1,plate7-G7_A_Canberra_530_2025_bc1.gb
flu-seqneut-25to26_H1N1_28_bc2,plate7-H7_A_Canberra_530_2025_bc2.gb
flu-seqneut-25to26_H1N1_29_bc1,plate7-A8_A_California_63_2025_bc1.gb
flu-seqneut-25to26_H1N1_29_bc2,plate7-B8_A_California_63_2025_bc2.gb
flu-seqneut-25to26_H1N1_30_bc1,plate7-C8_A_Philippines_SARI25-1425_2025_bc1.gb
flu-seqneut-25to26_H1N1_30_bc2,plate7-D8_A_Philippines_SARI25-1425_2025_bc2.gb
flu-seqneut-25to26_H1N1_31_bc1,plate7-E8_A_SouthAustralia_2521506017_2025_bc1.gb
flu-seqneut-25to26_H1N1_31_bc2,plate7-F8_A_SouthAustralia_2521506017_2025_bc2.gb
flu-seqneut-25to26_H1N1_32_bc1,plate7-G8_A_Norway_9107_2025_bc1.gb
flu-seqneut-25to26_H1N1_32_bc2,plate7-H8_A_Norway_9107_2025_bc2.gb
flu-seqneut-25to26_H1N1_33_bc1,plate7-A9_A_BritishColumbia_PHL-2478_2025_bc1.gb
flu-seqneut-25to26_H1N1_33_bc2,plate7-B9_A_BritishColumbia_PHL-2478_2025_bc2.gb
flu-seqneut-25to26_H1N1_34_bc1,plate7-C9_A_SouthAustralia_2523012764_2025_bc1.gb
flu-seqneut-25to26_H1N1_34_bc2,plate7-D9_A_SouthAustralia_2523012764_2025_bc2.gb
flu-seqneut-25to26_H1N1_35_bc1,plate7-E9_A_SouthAustralia_2518911830_2025_bc1.gb
flu-seqneut-25to26_H1N1_35_bc2,plate7-F9_A_SouthAustralia_2518911830_2025_bc2.gb
flu-seqneut-25to26_H1N1_36_bc1,plate7-G9_A_SouthAustralia_2520702747_2025_bc1.gb
flu-seqneut-25to26_H1N1_36_bc2,plate7-H9_A_SouthAustralia_2520702747_2025_bc2.gb
flu-seqneut-25to26_H1N1_37_bc1,plate7-A10_A_SouthAustralia_2521715152_2025_bc1.gb
flu-seqneut-25to26_H1N1_37_bc2,plate7-B10_A_SouthAustralia_2521715152_2025_bc2.gb
flu-seqneut-25to26_H1N1_38_bc1,plate7-C10_A_BritishColumbia_PHL-2473_2025_bc1.gb
flu-seqneut-25to26_H1N1_38_bc2,plate7-D10_A_BritishColumbia_PHL-2473_2025_bc2.gb
flu-seqneut-25to26_H1N1_39_bc1,plate7-E10_A_NewSouthWales_2525913630_2025_bc1.gb
flu-seqneut-25to26_H1N1_39_bc2,plate7-F10_A_NewSouthWales_2525913630_2025_bc2.gb
flu-seqneut-25to26_H1N1_40_bc1,plate7-G10_A_Bangkok_P3067_2025_bc1.gb
flu-seqneut-25to26_H1N1_40_bc2,plate7-H10_A_Bangkok_P3067_2025_bc2.gb
flu-seqneut-25to26_H1N1_41_bc1,plate7-A11_A_CoteDIvoire_2007_2025_bc1.gb
flu-seqneut-25to26_H1N1_41_bc2,plate7-B11_A_CoteDIvoire_2007_2025_bc2.gb
flu-seqneut-25to26_H1N1_42_bc1,plate7-C11_A_Catalonia_NSVH102686666_2025_bc1.gb
flu-seqneut-25to26_H1N1_42_bc2,plate7-D11_A_Catalonia_NSVH102686666_2025_bc2.gb
flu-seqneut-25to26_H1N1_43_bc1,plate7-E11_A_Malaysia_IMR-SARI1798_2025_bc1.gb
flu-seqneut-25to26_H1N1_43_bc2,plate7-F11_A_Malaysia_IMR-SARI1798_2025_bc2.gb
flu-seqneut-25to26_H1N1_44_bc1,plate7-G11_A_Chinautla_FLU-331_2025_bc1.gb
flu-seqneut-25to26_H1N1_44_bc2,plate7-H11_A_Chinautla_FLU-331_2025_bc2.gb
flu-seqneut-25to26_H1N1_45_bc1,plate7-A12_A_England_1822256_2025_bc1.gb
flu-seqneut-25to26_H1N1_45_bc2,plate7-B12_A_England_1822256_2025_bc2.gb
flu-seqneut-25to26_H1N1_46_bc1,plate7-C12_A_SouthAustralia_2518902563_2025_bc1.gb
flu-seqneut-25to26_H1N1_46_bc2,plate7-D12_A_SouthAustralia_2518902563_2025_bc2.gb
flu-seqneut-25to26_H1N1_47_bc1,plate7-E12_A_Ghana_ARI-25-1125_2025_bc1.gb
flu-seqneut-25to26_H1N1_47_bc2,plate7-F12_A_Ghana_ARI-25-1125_2025_bc2.gb
flu-seqneut-25to26_H1N1_48_bc1,plate7-G12_A_Hawaii_44_2025_bc1.gb
flu-seqneut-25to26_H1N1_48_bc2,plate7-H12_A_Hawaii_44_2025_bc2.gb
flu-seqneut-25to26_H3N2_55_bc1,plate8-A1_A_Aberystwyth_5654_2025_bc1.gb
flu-seqneut-25to26_H3N2_55_bc2,plate8-B1_A_Aberystwyth_5654_2025_bc2.gb
flu-seqneut-25to26_H3N2_56_bc1,plate8-C1_A_Bahrain_4684_2025_bc1.gb
flu-seqneut-25to26_H3N2_56_bc2,plate8-D1_A_Bahrain_4684_2025_bc2.gb
flu-seqneut-25to26_H3N2_57_bc1,plate8-E1_A_Delaware_81_2025_bc1.gb
flu-seqneut-25to26_H3N2_57_bc2,plate8-F1_A_Delaware_81_2025_bc2.gb
flu-seqneut-25to26_H3N2_58_bc1,plate8-G1_A_England_1845724_2025_bc1.gb
flu-seqneut-25to26_H3N2_58_bc2,plate8-H1_A_England_1845724_2025_bc2.gb
